gse,gpl,batch,n genes,n samples,title,pubmed_id,summary,web_link,overall_design,channel_count
GSE25055,GPL96,MDACC_M,12722,221,Discovery cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,21558518,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer.;	METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",NA,Neoadjuvant study of 310 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.,1
GSE25055,GPL96,MDACC_PERU,12722,6,Discovery cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,21558518,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer.;	METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",NA,Neoadjuvant study of 310 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.,1
GSE25065,GPL96,LBJ,12722,17,Validation cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,21558518,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer.;	METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",NA,Neoadjuvant validation cohort of 198 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.,1
GSE25065,GPL96,MDACC,12722,71,Validation cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,21558518,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer.;	METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",NA,Neoadjuvant validation cohort of 198 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.,1
GSE25065,GPL96,MDACC_MDA,12722,15,Validation cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,21558518,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer.;	METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",NA,Neoadjuvant validation cohort of 198 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.,1
GSE25065,GPL96,PERU,12722,25,Validation cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,21558518,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer.;	METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",NA,Neoadjuvant validation cohort of 198 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.,1
GSE25065,GPL96,Spain,12722,16,Validation cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,21558518,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer.;	METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",NA,Neoadjuvant validation cohort of 198 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.,1
GSE25065,GPL96,USO,12722,54,Validation cohort for genomic predictor of response and survival following neoadjuvant taxane-anthracycline chemotherapy in breast cancer,21558518,"PURPOSE: To develop a predictive test for response and survival following neoadjuvant taxane-anthracycline chemotherapy for HER2-negative invasive breast cancer.;	METHODS: We developed a microarray-based gene expression test from pre-treatment tumor biopsies (310 patients) to predict favorable outcome based on estrogen receptor (ER) status,pathologic response to chemotherapy, 3-year disease outcomes, and sensitivity to endocrine therapy. Tumors were classified as treatment-sensitive if predicted to have pathologic response (and not resistance) to chemotherapy, or sensitive to endocrine therapy. We tested predictive accuracy, with 95% confidence interval (CI), for pathologic response (PPV, positive predictive value), distant relapse-free survival (DRFS), and absolute risk reduction at median follow-up in 198 other patients. Independence from clinical-pathologic factors was assessed in a multivariate Cox regression analysis based on the likelihood ratio test. Other evaluable, published response predictors (genomic grade index (GGI), intrinsic subtype (PAM50), pCR predictor (DLDA30)) were compared.",NA,Neoadjuvant validation cohort of 198 HER2-negative breast cancer cases treated with taxane-anthracycline chemotherapy pre-operatively and endocrine therapy if ER-positive.  Response was assessed at the end of neoadjuvant treatment and distant-relapse-free survival was followed for at least 3 years post-surgery.,1
GSE32646,GPL570,NA,18260,115,GSTP1 expression predicts poor pathological complete response to neoadjuvant chemotherapy in ER-negative breast cancer,22320227,"The purpose of the present study was to investigate the association of glutathione S-transferase P1 (GSTP1) expression with resistance to neoadjuvant paclitaxel followed by 5-fluorouracil/epirubicin/cyclophosphamide (P-FEC) in human breast cancers. The relationship of GSTP1 expression and GSTP1 promoter hypermethylation with intrinsic subtypes was also investigated. In this study, primary breast cancer patients (n = 123, stage II-III) treated with neoadjuvant P-FEC were analyzed. Tumor samples were obtained by vacuum-assisted core biopsy before P-FEC. GSTP1 expression was determined using immunohistochemistry, GSTP1 promoter methylation index (MI) using bisulfite methylation assay and intrinsic subtypes using DNA microarray. The pathological complete response (pCR) rate was significantly higher in GSTP1-negative tumors (80.0%) than GSTP1-positive tumors (30.6%) (P = 0.009) among estrogen receptor (ER)-negative tumors but not among ER-positive tumors (P = 0.267). Multivariate analysis showed that GSTP1 was the only predictive factor for pCR (P = 0.013) among ER-negative tumors. Luminal A, luminal B and HER2-enriched tumors showed a significantly lower GSTP1 positivity than basal-like tumors (P = 0.002, P < 0.001 and P = 0.009, respectively), while luminal A, luminal B and HER2-enriched tumors showed a higher GSTP1 MI than basal-like tumors (P = 0.076, P < 0.001 and P < 0.001, respectively). In conclusion, these results suggest the possibility that GSTP1 expression can predict pathological response to P-FEC in ER-negative tumors but not in ER-positive tumors. Additionally, GSTP1 promoter hypermethylation might be implicated more importantly in the pathogenesis of luminal A, luminal B and HER2-enriched tumors than basal-like tumors.",NA,Fresh frozen tumor samples obtained by vacuum-assisted core biopsy from one hundred and fifteen patients were subjected to RNA extraction and hybridization on Affymetrix microarrays.,1
GSE33658,GPL570,NA,18260,11,"A phase II neoadjuvant trial of anastrozole (A), fulvestrant (F) and gefitinib (I - iressa) in patients with newly diagnosed estrogen receptor positive breast cancer",21792626,"Endocrine therapy in patients with breast cancer can be limited by the problem of resistance. Preclinical studies suggest that complete blockade of the estrogen receptor (ER) combined with inhibition of the epidermal growth factor receptor (EGFR) can overcome endocrine resistance. We tested this hypothesis in a phase II neoadjuvant trial of anastrozole and fulvestrant combined with gefitinib in postmenopausal women with newly diagnosed ER-positive breast cancer. After a baseline tumor core biopsy, patients were randomized to receive anastrozole and fulvestrant (AF) or anastrozole, fulvestrant, and gefitinib (AFG) for 3 weeks.  After a second biopsy at 3 weeks, all patients received AFG for 4 months and surgery was done if the tumor was operable. The primary endpoint was best clinical response by RECIST criteria and secondary endpoints were toxicity and change in biomarkers. The study closed after 15 patients were enrolled because of slow accrual. Median patient age was 67 years and median clinical tumor size was 7 cm. Four patients had metastatic disease present. Three patients withdrew before response was assessed. In the remaining twelve patients, there were two complete clinical responses (17%), three partial responses (25%), five had stable disease (41%), and two (17%) had progressive disease. Most common adverse events were rash in four patients, diarrhea in four, joint symptoms in three, and abnormal liver function tests in three. There were no grade 4 toxicities and all toxicities were reversible. At 3 weeks, cell proliferation as measured by Ki-67 was significantly reduced in the AFG group (p value= 0.01) with a parallel reduction in the expression of the Cyclin D1 (p value=0.02). RNA microarray data showed a corresponding decrease in the expression of cell cycle genes. These results suggest that AFG was an effective neoadjuvant therapy and consistently reduced proliferation in ER-positive tumors.",NA,"We tested this hypothesis in a phase II neoadjuvant trial of anastrozole and fulvestrant combined with gefitinib in postmenopausal women with newly diagnosed ER-positive breast cancer. After a baseline tumor core biopsy, patients were randomized to receive anastrozole and fulvestrant (AF) or anastrozole, fulvestrant, and gefitinib (AFG, also known as AFI) for 3 weeks.  After a second biopsy at 3 weeks, all patients received AFG for 4 months and surgery was done if the tumor was operable. The primary endpoint was best clinical response by RECIST criteria and secondary endpoints were toxicity and change in biomarkers. The study closed after 15 patients were enrolled because of slow accrual. Median patient age was 67 years and median clinical tumor size was 7 cm. Four patients had metastatic disease present. Three patients withdrew before response was assessed. In the remaining twelve patients, there were two complete clinical responses (17%), three partial responses (25%), five had stable disease (41%), and two (17%) had progressive disease. Most common adverse events were rash in four patients, diarrhea in four, joint symptoms in three, and abnormal liver function tests in three. There were no grade 4 toxicities and all toxicities were reversible. At 3 weeks, cell proliferation as measured by Ki-67 was significantly reduced in the AFG group (p value= 0.01) with a parallel reduction in the expression of the Cyclin D1 (p value=0.02). RNA microarray data showed a corresponding decrease in the expression of cell cycle genes. These results suggest that AFG was an effective neoadjuvant therapy and consistently reduced proliferation in ER-positive tumors.",1
